24-12-18 12:08:53.440 - INFO: 
| objects    |   pixel_auroc |   pixel_aupro |   image_auroc |   image_ap |
|:-----------|--------------:|--------------:|--------------:|-----------:|
| carpet     |          98.8 |          90   |         100   |      100   |
| bottle     |          90.4 |          80.8 |          88.7 |       96.8 |
| hazelnut   |          97.2 |          92.5 |          97.2 |       98.5 |
| leather    |          98.6 |          92.2 |          99.8 |       99.9 |
| cable      |          78.9 |          64   |          70.3 |       81.7 |
| capsule    |          95.8 |          87.6 |          89.5 |       97.8 |
| grid       |          97.3 |          75.4 |          97.8 |       99.3 |
| pill       |          91.8 |          88.1 |          81.1 |       95.3 |
| transistor |          70.8 |          58.2 |          93.9 |       92.1 |
| metal_nut  |          74.6 |          71.1 |          92.4 |       98.2 |
| screw      |          97.5 |          88   |          82.1 |       92.9 |
| toothbrush |          91.9 |          88.5 |          85.3 |       93.9 |
| zipper     |          91.3 |          65.4 |          98.4 |       99.5 |
| tile       |          94.7 |          87.4 |         100   |      100   |
| wood       |          96.4 |          91.5 |          96.9 |       99.2 |
| mean       |          91.1 |          81.4 |          91.6 |       96.4 |
