24-12-18 12:19:01.770 - INFO: 
| objects    |   pixel_auroc |   pixel_aupro |   image_auroc |   image_ap |
|:-----------|--------------:|--------------:|--------------:|-----------:|
| candle     |          98.8 |          96.5 |          80.9 |       82.6 |
| capsules   |          95   |          78.9 |          82.8 |       89.4 |
| cashew     |          93.8 |          91.9 |          76   |       89.3 |
| chewinggum |          99.3 |          90.9 |          97.2 |       98.8 |
| fryum      |          94.6 |          86.9 |          92.7 |       96.6 |
| macaroni1  |          98.3 |          89.8 |          86.7 |       85.5 |
| macaroni2  |          97.6 |          84   |          72.2 |       70.8 |
| pcb1       |          94   |          80.7 |          85.2 |       86.7 |
| pcb2       |          92.4 |          78.9 |          62   |       64.4 |
| pcb3       |          88.4 |          76.8 |          61.7 |       69.4 |
| pcb4       |          95.7 |          89.4 |          93.9 |       94.3 |
| pipe_fryum |          98.2 |          96.2 |          92.3 |       96.3 |
| mean       |          95.5 |          86.7 |          82   |       85.3 |
